"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-10-01" ,"12"          ,"West Coast Region"        ,"18"           ,"441"          ,"30"           ,"115"         ,"108"                 ,"130"                 ,"90"                  ,"0.27"
"1993-10-01" ,"13"          ,"Canterbury Region"        ,"864"          ,"11880"        ,"744"          ,"145"         ,"139"                 ,"175"                 ,"116"                 ,"0.34"
"1993-10-01" ,"14"          ,"Otago Region"             ,"330"          ,"5454"         ,"318"          ,"140"         ,"136"                 ,"160"                 ,"120"                 ,"0.33"
"1993-10-01" ,"15"          ,"Southland Region"         ,"108"          ,"1569"         ,"93"           ,"105"         ,"99"                  ,"125"                 ,"88"                  ,"0.35"
"1993-10-01" ,"16"          ,"Tasman Region"            ,"39"           ,"348"          ,"30"           ,"153"         ,"140"                 ,"165"                 ,"130"                 ,"0.28"
"1993-10-01" ,"17"          ,"Nelson Region"            ,"156"          ,"1374"         ,"123"          ,"150"         ,"154"                 ,"180"                 ,"138"                 ,"0.20"
"1993-10-01" ,"18"          ,"Marlborough Region"       ,"57"           ,"804"          ,"42"           ,"130"         ,"131"                 ,"150"                 ,"115"                 ,"0.19"
"1993-11-01" ,"-99"         ,"ALL"                      ,"7,830"        ,"104157"       ,"7,839"        ,"155"         ,"156"                 ,"195"                 ,"125"                 ,"0.38"
"1993-11-01" ,"-1"          ,"NA"                       ,"441"          ,"6546"         ,"495"          ,"130"         ,"132"                 ,"166"                 ,"100"                 ,"0.40"
"1993-11-01" ,"1"           ,"Northland Region"         ,"156"          ,"2037"         ,"153"          ,"130"         ,"125"                 ,"150"                 ,"110"                 ,"0.25"
